order_id,customer_id,order_date,order_status,payment_method
51259,329,22/02/2026,Delivered,UPI
53742,371,03/05/2026,Pending,Net Banking
55788,164,12-02-2024,Delivered,UPI
51201,43,2026-06-02,Cancelled,Credit Card
51931,271,2024-04-14,Delivered,Net Banking
55992,357,2024-07-09,Delivered,COD
50816,75,12/08/2024,Delivered,Net Banking
52114,450,24/02/2026,Delivered,Credit Card
53524,455,2025-10-05,Delivered,Debit Card
51386,303,13-02-2025,Delivered,COD
56263,1040,2025-03-16,Delivered,Credit Card
50752,93,24-05-2025,Delivered,UPI
56238,335,05-01-2024,Delivered,UPI
53809,215,13-08-2026,Cancelled,UPI
54968,6,2024-11-17,Delivered,NET BANKING
56526,2,31-10-2024,Delivered,Credit Card
53973,57,30/01/2026,Returned,UPI
54487,85,2024-05-07,Delivered,COD
56293,247,16-04-2026,Delivered,UPI
53626,859,2025-06-11,Delivered,UPI
51191,641,16/11/2024,Delivered,COD
56833,841,2025-08-02,Delivered,Debit Card
56613,116,2026-02-12,Delivered,Net Banking
56456,906,30-08-2024,Delivered,UPI
57410,422,2026-08-29,Delivered,Net Banking
55499,144,07-08-2025,Delivered,Credit Card
50913,43,26/11/2025,,Credit Card
52672,362,2025-03-27,Delivered,Credit Card
53779,907,2024-09-05,Delivered,UPI
50350,119,07-04-2024,Delivered,UPI
50988,32,2026-05-05,Delivered,UPI
50646,473,29-11-2024,Delivered,Credit Card
56106,26,27/01/2026,Returned,UPI
54740,750,14-04-2024,Delivered,Debit Card
50467,210,30/01/2026,Pending,UPI
57417,1033,13/01/2026,Delivered,UPI
53630,855,2025-06-16,Delivered,Credit Card
54861,750,2026-01-15,Returned,Credit Card
55236,633,2024-04-21,Pending,UPI
54663,736,23/04/2025,delivered,UPI
56249,361,04-04-2026,Delivered,Net Banking
56861,74,24-11-2025,Delivered,Debit Card
52580,3,2026-03-12,Delivered,Debit Card
52401,257,2026-06-16,DELIVERED,Net Banking
53754,153,07-09-2025,Delivered,Debit Card
54654,70,01-12-2024,Delivered,Credit Card
51090,216,04-12-2025,returned,UPI
57787,157,2025-08-03,Delivered,UPI
53589,293,2025-10-25,Returned,UPI
54532,795,2024-02-23,Returned,COD
50462,461,2025-09-23,Delivered,UPI
53846,961,08-10-2024,PENDING,Debit Card
52594,371,11/09/2024,Delivered,upi
54783,380,02-07-2025,Delivered,cod
51867,459,18-10-2025,Delivered,UPI
56074,599,2024-06-09,Delivered,Net Banking
56034,11,2025-03-30,Delivered,Credit Card
56391,177,2025-05-06,Cancelled,UPI
55213,283,21-01-2026,Delivered,Net Banking
50112,409,2025-06-21,Cancelled,COD
56002,696,25-06-2026,Delivered,UPI
55352,1042,2024-01-11,Pending,Net Banking
57941,453,17-07-2026,Delivered,Debit Card
51968,52,2024-12-22,Cancelled,UPI
55780,581,2025-04-14,Delivered,UPI
57992,235,28/05/2026,Cancelled,Credit Card
55313,949,2024-01-06,Delivered,Credit Card
56282,382,25-03-2025,Delivered,COD
55849,303,31-10-2025,DELIVERED,UPI
52802,376,12-08-2026,Delivered,UPI
57303,341,01-07-2026,Delivered,Credit Card
54229,177,2024-04-02,pending,UPI
51874,419,2024-01-17,Delivered,UPI
55307,61,23-04-2024,Delivered,Debit Card
54342,576,14/11/2024,Delivered,UPI
51730,264,2024-03-25,Delivered,UPI
52705,827,17/06/2025,Delivered,UPI
51470,658,31-01-2025,Delivered,Net Banking
57038,311,28-11-2024,Delivered,Credit Card
54283,691,25-07-2026,Delivered,UPI
55593,539,2025-11-18,Delivered,Credit Card
52568,452,08-02-2025,Delivered,Net Banking
52389,767,2025-03-23,Delivered,UPI
55804,66,2024-09-12,Pending,UPI
56425,630,12/12/2025,Delivered,Net Banking
50684,577,15/07/2026,DELIVERED,Net Banking
51567,124,25-04-2025,Delivered,Credit Card
54915,680,31/05/2024,Pending,Debit Card
53417,1,02/08/2026,Delivered,
51345,59,16/03/2025,Pending,Credit Card
51873,685,2024-06-19,Delivered,COD
52537,48,09-03-2024,Delivered,UPI
56631,706,2025-06-17,Delivered,Credit Card
51007,350,2025-06-24,Returned,Credit Card
56862,939,17/01/2026,Delivered,UPI
51230,144,28-11-2025,Delivered,UPI
55249,719,2026-05-08,delivered,UPI
54559,749,2025-04-15,delivered,Credit Card
51454,153,20/02/2026,Delivered,Credit Card
57579,474,26/04/2024,Delivered,
51671,601,21/08/2026,Delivered,UPI
52194,12,08/01/2025,Delivered,Credit Card
54581,732,02-09-2024,Delivered,Credit Card
52452,53,2026-04-02,Delivered,Credit Card
53084,278,2024-06-26,Delivered,UPI
57481,393,10-03-2025,DELIVERED,DEBIT CARD
55505,131,15/01/2024,Delivered,UPI
57349,648,27/07/2024,Delivered,upi
57994,125,2024-05-06,Delivered,UPI
55299,103,2025-10-11,delivered,UPI
56944,128,2024-10-11,Delivered,UPI
54985,59,27/05/2024,Delivered,Net Banking
50764,189,31-12-2024,Delivered,UPI
53035,889,2025-06-21,Pending,UPI
52206,1041,16-05-2025,Delivered,UPI
51187,866,21/02/2026,,Credit Card
50899,695,31-05-2025,Cancelled,UPI
57330,251,2024-05-28,Delivered,Credit Card
56745,489,24/04/2025,,Credit Card
54159,422,2024-12-02,Delivered,UPI
55671,622,17/02/2025,Delivered,Credit Card
51613,458,28-07-2024,Delivered,cod
57284,745,28-12-2025,Delivered,Credit Card
50138,373,2024-03-13,Delivered,Debit Card
54839,394,03/10/2025,Delivered,COD
57658,149,2024-12-18,Cancelled,UPI
51195,437,28-01-2024,Cancelled,Net Banking
51915,48,2025-11-07,Delivered,Credit Card
53106,55,2025-01-24,Delivered,Credit Card
53278,476,02/01/2025,Delivered,Debit Card
53390,157,2024-01-02,Delivered,CREDIT CARD
57468,89,31/08/2025,Pending,Credit Card
54583,856,2024-08-26,Delivered,Net Banking
53311,278,25/04/2026,Delivered,Credit Card
55035,43,28-08-2025,Delivered,Credit Card
57635,783,30/03/2024,Delivered,COD
56143,135,2026-07-22,Pending,UPI
53670,258,2025-09-13,Delivered,Debit Card
51222,476,07-07-2026,Delivered,Credit Card
56594,723,16/03/2025,Cancelled,Net Banking
55169,614,27/09/2025,Pending,Net Banking
56881,516,2024-03-09,Delivered,Credit Card
55553,34,2024-01-26,Cancelled,debit card
55781,459,2025-12-15,Delivered,Credit Card
55413,365,2025-08-10,Pending,UPI
55922,1069,07/01/2025,DELIVERED,UPI
51701,270,20/08/2025,pending,Credit Card
52008,901,20/03/2026,,Credit Card
53963,57,10/06/2025,Delivered,UPI
50224,403,20-11-2024,Delivered,Debit Card
50721,7,05-06-2024,Delivered,UPI
55687,541,19-10-2024,Pending,Debit Card
52249,766,27-12-2025,Delivered,Debit Card
51098,664,05/07/2026,Delivered,Credit Card
54412,1040,2024-09-11,Delivered,Credit Card
57522,804,2024-01-02,Delivered,Debit Card
55293,4,2024-11-03,Delivered,Credit Card
52656,84,2026-04-16,Delivered,Net Banking
57301,15,2025-06-22,Delivered,UPI
55332,508,2025-05-10,Delivered,
55577,40,2024-10-13,Delivered,COD
57453,744,30/01/2024,Delivered,UPI
52238,522,12/09/2024,Delivered,UPI
50943,125,20-02-2024,Pending,UPI
53748,695,09-02-2026,Delivered,UPI
50169,3,02/07/2024,Delivered,COD
57418,79,12-06-2024,Delivered,Credit Card
51678,53,2025-03-13,Delivered,COD
54960,429,11-11-2024,Delivered,COD
50681,49,2025-10-05,DELIVERED,Credit Card
51120,467,27/03/2025,DELIVERED,Credit Card
54013,168,15/12/2025,Delivered,Credit Card
54634,144,06/03/2026,Delivered,Debit Card
54772,274,2025-04-01,Pending,COD
56672,315,2026-01-06,pending,UPI
50421,143,13/08/2024,Delivered,COD
56328,782,18/06/2026,Delivered,UPI
56069,12,2025-05-26,Delivered,UPI
50770,269,29/10/2025,Cancelled,Debit Card
53331,122,10-11-2024,Delivered,UPI
50821,23,08-06-2024,Delivered,UPI
53941,759,13/08/2026,Delivered,Net Banking
57409,427,06/01/2024,Delivered,COD
57309,67,16-06-2026,Delivered,UPI
50113,338,2025-02-09,Pending,UPI
57192,244,2024-03-06,Delivered,COD
51658,137,2024-06-11,Pending,Net Banking
57637,391,2026-03-07,Delivered,UPI
56865,178,14-03-2025,Delivered,UPI
53255,8,2026-07-02,DELIVERED,UPI
54384,135,30/08/2026,Delivered,CREDIT CARD
51172,51,2024-11-04,Delivered,Net Banking
56970,80,23/07/2024,Delivered,Net Banking
57573,977,2024-03-11,Delivered,Net Banking
57550,752,16/12/2025,Pending,COD
55222,48,2026-01-28,Delivered,Credit Card
54267,367,17-06-2026,Delivered,Credit Card
54160,102,02/09/2024,Delivered,UPI
52647,970,2024-05-12,Delivered,UPI
56788,496,2024-02-10,Delivered,COD
51936,953,16/03/2024,,UPI
57986,982,01-04-2024,Delivered,UPI
53690,454,2025-10-30,,COD
57849,415,2024-03-02,Returned,Debit Card
57740,835,2025-01-23,Delivered,Credit Card
55363,575,26-09-2025,Delivered,UPI
57180,967,2024-01-25,delivered,Credit Card
51986,962,14-01-2025,Delivered,Upi
55824,799,30/08/2024,Delivered,Credit Card
57922,84,08-10-2025,Delivered,Credit Card
53023,667,2025-03-30,Delivered,COD
57135,1015,24-11-2025,Cancelled,UPI
55811,587,24/01/2024,Delivered,UPI
51517,209,2025-09-19,CANCELLED,Credit Card
52319,994,02-05-2024,Delivered,UPI
51791,952,24-04-2026,Delivered,Net Banking
50698,386,2026-08-28,PENDING,UPI
52822,270,2025-03-28,Delivered,Credit Card
52185,1028,26-05-2025,Cancelled,UPI
52433,143,17/03/2025,Delivered,Credit Card
53360,333,2026-01-20,Delivered,Credit Card
53333,345,2026-01-27,DELIVERED,COD
54769,1039,2024-01-30,Delivered,UPI
51048,507,2024-08-26,Delivered,UPI
52447,22,2024-08-31,Cancelled,COD
53288,632,2025-10-07,Delivered,UPI
50385,230,2024-02-04,Delivered,UPI
51985,904,2024-06-21,Delivered,Debit Card
52690,116,29/03/2026,Cancelled,Debit Card
52543,443,2026-01-15,Delivered,UPI
50039,569,21-04-2026,Delivered,Upi
50766,300,13/02/2024,Delivered,COD
53990,755,2024-01-03,Delivered,UPI
50695,256,08/01/2025,DELIVERED,UPI
56686,46,2026-05-23,delivered,COD
56600,69,2025-09-26,Delivered,Debit Card
56571,893,27/01/2026,pending,UPI
55179,496,15/05/2025,Pending,UPI
51945,83,23/11/2024,Delivered,Net Banking
54936,260,17/04/2025,Delivered,COD
53108,76,14-09-2025,Delivered,debit card
53275,386,2026-05-13,Delivered,Credit Card
55456,427,2025-12-17,Delivered,Debit Card
51803,768,21-11-2025,Pending,Debit Card
51848,709,2024-11-27,Delivered,Credit Card
57731,41,2024-01-23,delivered,Debit Card
53720,345,2024-03-26,DELIVERED,UPI
51249,58,17-10-2024,Delivered,UPI
56774,802,10-02-2025,,Credit Card
51996,25,25-10-2024,Delivered,Credit Card
53942,867,29/03/2025,Delivered,Debit Card
57027,128,21-06-2024,Delivered,upi
57472,329,2026-03-04,Delivered,UPI
57718,845,27/05/2026,Cancelled,COD
54865,96,2024-10-16,Delivered,UPI
50641,55,2024-03-26,,UPI
53887,266,19/01/2025,Delivered,UPI
55057,259,2024-07-07,Delivered,Credit Card
51413,336,2025-08-11,Delivered,UPI
56543,187,2024-06-02,Delivered,Net Banking
57061,106,2026-04-16,Returned,UPI
55789,226,2025-07-30,Delivered,UPI
54411,67,02-07-2026,Returned,Credit Card
54461,155,24-02-2026,Delivered,Credit Card
52069,433,2024-04-27,DELIVERED,Credit Card
56796,274,15/01/2025,Delivered,UPI
52626,740,21/06/2026,Delivered,UPI
56020,747,22/03/2025,Delivered,UPI
54038,336,2025-05-19,Delivered,COD
57659,189,02/02/2025,Delivered,UPI
51616,98,2024-07-13,Delivered,Credit Card
53996,33,27/05/2025,Delivered,upi
50064,392,26/10/2025,Delivered,UPI
55403,215,2025-08-23,Delivered,Debit Card
56622,902,25/01/2026,Pending,UPI
55868,287,13/07/2025,Returned,Debit Card
50687,12,2026-08-26,Delivered,UPI
51783,69,24-08-2024,Delivered,Net Banking
52528,549,14/11/2025,Cancelled,Debit Card
56722,177,2025-11-11,Delivered,COD
51309,2,2026-08-26,Delivered,Credit Card
55187,124,15-03-2025,Delivered,Credit Card
57177,929,04/07/2024,Returned,Debit Card
50960,38,2025-11-27,Delivered,UPI
57282,116,2024-02-01,Delivered,Debit Card
54768,687,2026-06-15,Delivered,Net Banking
52054,704,2026-01-28,Pending,UPI
51849,108,27/08/2025,Delivered,UPI
50216,441,2024-05-17,delivered,UPI
54661,4,2025-09-23,Delivered,UPI
50247,349,2024-05-25,Delivered,UPI
55530,408,24-04-2026,Delivered,UPI
50847,241,2025-05-13,Delivered,UPI
54671,746,22-07-2026,Returned,Net Banking
54880,6,2025-12-05,Pending,COD
53583,1019,24-05-2026,RETURNED,Net Banking
50271,838,21/07/2026,Delivered,UPI
51270,419,31-01-2024,Delivered,UPI
55420,123,2024-03-17,Delivered,COD
51599,834,03/11/2025,Delivered,UPI
54742,750,19/07/2026,Pending,UPI
54150,14,2025-01-23,Delivered,Credit Card
52106,466,2024-09-14,Delivered,UPI
57636,226,10/10/2024,Delivered,Credit Card
53138,385,2025-11-07,Returned,upi
52013,100,19-04-2026,Delivered,Debit Card
50289,341,2026-02-07,Delivered,Debit Card
54666,632,12/09/2024,Delivered,Credit Card
53616,364,01/02/2026,Delivered,Debit Card
50262,1025,29-05-2026,Delivered,Upi
57103,853,2025-04-04,Delivered,Net Banking
51026,233,2025-07-09,Delivered,UPI
57631,155,04/09/2025,Delivered,upi
51333,505,27-03-2026,Delivered,Debit Card
57093,133,2025-05-27,Cancelled,Net Banking
54423,678,2024-04-22,Delivered,Net Banking
56840,83,2024-01-30,Delivered,UPI
50655,29,08-06-2025,Delivered,
57357,634,2024-03-30,Delivered,Net Banking
51719,49,2025-05-21,Delivered,Upi
54269,596,18-03-2025,Delivered,Credit Card
56897,80,2024-12-02,Delivered,Net Banking
54398,9,2024-02-20,Delivered,Credit Card
57939,714,2024-09-15,Delivered,COD
51770,917,2024-09-30,Delivered,Credit Card
51642,728,13-03-2025,Delivered,COD
52957,381,05-04-2024,,Net Banking
56853,298,30-05-2024,Delivered,Credit Card
57913,192,2026-04-30,Cancelled,Credit Card
57220,653,08/07/2024,Pending,Credit Card
50669,230,2026-06-27,CANCELLED,UPI
57163,926,2026-02-25,Delivered,Debit Card
52786,795,01/12/2025,Delivered,Credit Card
53013,460,25-06-2026,Delivered,UPI
50492,298,27/06/2025,Delivered,Credit Card
52095,765,2026-02-06,Delivered,UPI
57197,608,2025-05-26,Delivered,Credit Card
55455,82,25/08/2026,Delivered,Debit Card
56051,328,26/07/2024,Delivered,Credit Card
57853,388,15-04-2026,Delivered,UPI
53060,466,04/07/2026,Delivered,UPI
50357,209,24-05-2026,Delivered,COD
52233,90,2025-11-25,Pending,UPI
56248,834,2024-10-17,Delivered,Cod
57754,758,22-08-2025,Delivered,UPI
51563,613,01/10/2024,Delivered,Debit Card
55317,744,2025-09-23,Delivered,UPI
55013,124,2024-10-03,Delivered,UPI
56075,36,2026-02-18,,Credit Card
54033,194,2026-08-24,Delivered,UPI
53078,19,07/08/2026,Delivered,Debit Card
50528,426,23/03/2024,Delivered,Credit Card
50545,200,2026-04-22,Returned,CREDIT CARD
56991,457,08-10-2025,Delivered,UPI
54591,695,2024-10-24,Delivered,UPI
57687,63,2024-02-29,Delivered,UPI
54570,55,2025-02-07,Pending,Credit Card
54998,141,03-08-2024,Delivered,UPI
52203,257,26-04-2025,Delivered,Credit Card
54760,981,21/08/2026,Cancelled,UPI
57511,1080,11-06-2024,Delivered,Debit Card
54319,948,2024-10-22,Delivered,Debit Card
57993,797,12/12/2024,Delivered,Credit Card
57492,36,2025-10-10,Cancelled,UPI
53907,888,28/08/2026,Pending,CREDIT CARD
57751,28,22-05-2026,Cancelled,Debit Card
56874,96,21/10/2025,Delivered,COD
54035,359,2025-09-15,Delivered,Credit Card
53601,215,2024-02-26,Returned,UPI
57643,91,06/08/2024,Returned,Credit Card
57548,125,31/05/2024,Delivered,UPI
51085,29,01-06-2026,Delivered,Debit Card
56164,875,22-07-2025,Delivered,UPI
54413,11,15/11/2025,Delivered,UPI
56113,928,2025-08-07,Delivered,Debit Card
55207,416,2024-05-04,Delivered,UPI
50140,156,09-04-2024,Delivered,UPI
55969,127,30/08/2024,Delivered,Credit Card
50437,796,2026-06-06,Pending,UPI
52936,758,24-02-2026,Delivered,Credit Card
56675,182,22/03/2026,delivered,UPI
57582,360,02/09/2024,Delivered,Credit Card
52017,962,2025-06-28,Delivered,COD
54107,364,31-05-2024,Pending,Credit Card
57437,70,21-03-2025,Delivered,UPI
53517,116,2024-12-23,Delivered,
52942,307,24-01-2024,Delivered,UPI
51149,130,27/04/2026,Delivered,UPI
51578,914,23-05-2024,Delivered,Credit Card
53354,830,19-06-2024,Cancelled,Net Banking
56583,474,2025-10-25,Pending,UPI
55761,66,06/03/2026,Returned,UPI
51860,423,17/05/2026,Delivered,Net Banking
54293,728,2025-04-29,Delivered,UPI
51924,338,2025-11-10,Delivered,COD
52207,126,2025-05-22,Delivered,Credit Card
55723,538,17/07/2025,,UPI
55820,48,2026-08-09,Delivered,UPI
52388,93,27/07/2025,Delivered,UPI
50853,224,16-03-2025,Delivered,UPI
57903,6,2024-09-24,Delivered,Debit Card
56047,1021,15/02/2024,Pending,COD
51228,2,12/09/2024,Delivered,UPI
50344,37,2026-02-20,Delivered,Net Banking
55173,294,2024-05-03,Delivered,upi
55568,29,2024-02-20,Delivered,Debit Card
56114,90,11-12-2024,Delivered,Credit Card
55090,447,24/11/2025,Delivered,UPI
57569,331,25/11/2025,Delivered,UPI
50394,419,2025-03-05,Delivered,UPI
54992,463,2024-09-06,delivered,Debit Card
55206,1049,06-02-2025,Delivered,COD
53046,513,30-08-2025,Delivered,UPI
56924,524,2024-05-20,Delivered,UPI
56843,481,2025-04-02,Delivered,DEBIT CARD
53420,25,17-10-2025,Delivered,UPI
57169,694,2024-12-02,delivered,Debit Card
54494,1050,26/03/2026,Delivered,Net Banking
53196,26,2025-05-11,Delivered,UPI
51587,515,2024-04-16,Delivered,Net Banking
56411,110,21/11/2025,Delivered,UPI
53437,29,17-05-2026,Returned,credit card
57173,979,01-10-2025,Delivered,UPI
51801,285,29/05/2026,delivered,COD
51537,13,2026-03-14,Delivered,Credit Card
54023,1,21/01/2024,Delivered,UPI
51992,414,2026-07-04,Delivered,UPI
57439,578,07/09/2024,Delivered,UPI
55308,38,2024-11-07,Cancelled,Debit Card
50680,879,2024-05-06,Pending,COD
56230,43,22/06/2026,Pending,Credit Card
51031,430,2025-03-15,Delivered,Net Banking
56635,291,2025-03-11,Delivered,debit card
56068,277,2026-02-26,Delivered,UPI
50809,674,2026-08-05,Pending,COD
50370,716,04/01/2024,Delivered,COD
57490,498,11-11-2025,Delivered,UPI
51157,179,06/04/2026,DELIVERED,UPI
52962,375,2025-03-21,Delivered,COD
54306,727,04-06-2024,Delivered,UPI
51033,46,22/03/2024,delivered,UPI
51488,27,2025-12-26,Pending,Credit Card
50692,803,29/05/2024,Pending,Credit Card
57123,10,2025-08-22,Delivered,Credit Card
52861,355,07-01-2024,Delivered,Credit Card
54273,385,2025-01-18,DELIVERED,UPI
53939,232,2025-02-01,Delivered,Debit Card
57962,29,01/04/2026,Delivered,Debit Card
55865,285,16/06/2026,Delivered,COD
53687,111,20-02-2026,delivered,Credit Card
52875,932,25-03-2026,Delivered,Upi
57505,294,23/10/2024,Delivered,Credit Card
56567,362,19-09-2024,Delivered,
51198,1,2026-03-24,Delivered,UPI
50775,855,2026-08-12,Delivered,UPI
53058,364,2026-04-12,Cancelled,upi
52070,612,2025-03-14,Delivered,DEBIT CARD
55938,477,2026-03-24,Pending,COD
53229,1006,30-05-2025,Cancelled,UPI
51866,298,11-12-2024,Delivered,COD
53553,353,15-06-2026,,UPI
54913,998,2026-07-19,Delivered,Net Banking
57136,25,24-03-2026,Delivered,debit card
52354,66,23/01/2024,,UPI
52041,161,2025-07-01,Delivered,COD
52430,90,05/06/2024,Delivered,Debit Card
55278,147,14-12-2024,,UPI
52782,2,2025-12-07,Returned,UPI
57018,91,2026-08-14,Delivered,UPI
57142,719,2025-09-30,DELIVERED,UPI
55009,640,25/01/2024,Delivered,Credit Card
55430,53,25-03-2025,Delivered,Credit Card
56683,121,16/09/2024,Pending,UPI
54367,587,2025-03-08,Delivered,Debit Card
56835,174,10/06/2025,Delivered,Credit Card
50020,260,2026-04-16,Delivered,COD
52914,281,12-10-2024,Delivered,net banking
53994,773,2024-10-24,Delivered,Credit Card
53185,381,25/03/2025,Delivered,Debit Card
52500,113,02-03-2025,Delivered,COD
51479,500,02/11/2024,Delivered,UPI
53528,566,03/05/2026,Delivered,UPI
57041,179,09-10-2025,Pending,Debit Card
57495,63,28-10-2025,Delivered,UPI
53739,480,2025-10-12,Delivered,cod
57456,503,20/07/2025,Delivered,UPI
54348,775,2026-01-06,Delivered,Net Banking
50848,556,03-03-2025,Delivered,COD
56049,667,2026-07-08,Delivered,UPI
50678,217,18/06/2025,Delivered,Credit Card
50975,361,2026-04-15,Delivered,COD
51119,374,2025-01-12,Delivered,credit card
55145,125,23-06-2025,Delivered,UPI
50824,260,2025-10-15,Pending,UPI
54520,561,01-07-2024,Delivered,Net Banking
57999,940,2024-01-01,Pending,COD
53083,133,2026-02-04,Delivered,UPI
55161,296,11/06/2024,Pending,COD
50296,20,12-04-2026,Delivered,net banking
53234,253,2026-03-22,Pending,Credit Card
52531,35,2024-05-03,Delivered,Debit Card
55628,478,25-01-2026,Delivered,Net Banking
55749,280,2024-06-23,DELIVERED,Debit Card
50295,635,2025-10-29,Delivered,UPI
54291,96,2026-01-13,Delivered,UPI
53688,989,2025-08-12,Delivered,UPI
51868,184,2024-08-21,Delivered,Credit Card
56757,128,2024-01-16,Delivered,Credit Card
54028,55,17-04-2025,Pending,UPI
55531,300,2025-10-19,Delivered,UPI
55287,56,30/03/2026,Delivered,CREDIT CARD
55523,315,25-04-2026,Delivered,Cod
53561,428,2025-07-25,Cancelled,UPI
54400,690,2025-12-15,Delivered,Credit Card
54625,1056,2026-06-17,Delivered,COD
54364,149,25/01/2024,Delivered,
55791,420,13/09/2025,delivered,Net Banking
55725,24,2025-07-16,,Credit Card
54465,156,2025-12-03,Delivered,UPI
51153,46,16-01-2026,Cancelled,
54116,14,2026-02-04,Delivered,UPI
53238,850,2024-08-03,Delivered,Credit Card
57567,373,18-06-2024,Cancelled,
52780,467,2025-02-07,Delivered,UPI
57008,727,2025-12-21,Delivered,Debit Card
56918,966,23/11/2024,Delivered,UPI
50468,958,04-10-2025,Delivered,Net Banking
52130,340,2024-08-14,Delivered,UPI
53538,246,2025-06-30,cancelled,COD
53661,381,23/06/2025,Pending,Net Banking
55515,493,25-05-2025,Delivered,UPI
54782,398,11/06/2026,Delivered,UPI
55954,37,17/02/2026,Delivered,UPI
50995,793,24/12/2024,Pending,Credit Card
57930,76,12/04/2024,Delivered,Debit Card
57448,219,10/07/2024,Delivered,Cod
55103,34,2025-08-15,Delivered,UPI
53191,489,27/07/2026,Pending,UPI
56055,403,25-04-2025,Delivered,UPI
50745,516,20-12-2025,PENDING,UPI
56019,369,13-03-2025,Returned,Credit Card
53235,88,19/02/2024,Returned,COD
57940,263,2026-06-12,Pending,UPI
55697,636,2025-05-22,Delivered,COD
54629,495,04/02/2026,Delivered,Credit Card
54106,473,2026-06-29,Delivered,UPI
57561,532,2025-11-16,Delivered,UPI
52485,432,2025-01-27,Delivered,COD
57640,617,30/04/2024,Delivered,UPI
51008,777,2026-06-29,Delivered,Credit Card
53880,11,21-02-2026,pending,UPI
53733,400,01-08-2026,Delivered,UPI
56663,109,23/07/2025,Delivered,UPI
50587,297,2024-11-15,Delivered,UPI
52668,871,14-02-2025,Delivered,
56802,29,2024-11-10,Delivered,UPI
57910,38,04/06/2025,Pending,Net Banking
52495,97,2026-06-25,Delivered,UPI
54217,133,2026-01-31,Delivered,Credit Card
52811,250,2024-11-19,Delivered,Credit Card
50484,796,21-07-2026,Delivered,Credit Card
56689,880,2025-09-17,Delivered,Net Banking
57985,117,2026-02-26,Delivered,Credit Card
51641,145,14/11/2025,Delivered,debit card
56705,125,29/05/2026,Delivered,UPI
55889,155,2026-08-01,Cancelled,Credit Card
51086,705,26/01/2025,Cancelled,UPI
