payment_id,order_id,payment_date,payment_method,payment_status
6420,56420,2026-05-14,upi,Paid
3283,53283,05/11/2024,Credit Card,Refunded
4086,54086,13/11/2024,UPI,Paid
7136,57136,2026-03-24,Debit Card,Paid
6556,56556,15/01/2024,COD,REFUNDED
6574,56574,2026-08-19,UPI,Refunded
5774,55774,2024-11-25,UPI,Paid
3801,53801,15-08-2026,COD,Paid
4256,54256,15/07/2026,Net Banking,Paid
4976,54976,,Credit Card,Paid
7438,57438,05/01/2024,Credit Card,Paid
1565,51565,17-10-2025,Net Banking,Refunded
921,50921,13/06/2026,Upi,Pending
4293,54293,30/04/2025,UPI,Paid
4232,54232,2024-04-26,Debit Card,Paid
5777,55777,16/02/2024,Debit Card,Paid
2767,52767,25/12/2025,UPI,Paid
1865,51865,18-04-2025,UPI,Paid
7284,57284,30-12-2025,Credit Card,Paid
7795,57795,2025-03-14,Credit Card,Paid
816,50816,2024-08-12,Net Banking,Paid
36,50036,06/01/2026,Net Banking,Paid
7956,57956,14-07-2025,Upi,Refunded
3633,53633,16/02/2024,Net Banking,Paid
3184,53184,14/01/2025,Debit Card,Paid
4244,54244,2026-04-27,UPI,Paid
2662,52662,05-12-2025,UPI,Failed
62,50062,20-05-2026,Debit Card,Failed
610,50610,2025-06-30,CREDIT CARD,Paid
6609,56609,20/07/2025,Credit Card,Paid
4529,54529,27-04-2024,Net Banking,Paid
4420,54420,01/05/2025,Debit Card,Paid
600,50600,2024-11-26,Debit Card,Paid
5770,55770,2025-05-11,UPI,Paid
4419,54419,05/11/2025,UPI,Paid
5748,55748,11/08/2025,cod,Paid
6557,56557,22/07/2026,Credit Card,Paid
7534,57534,21-05-2026,Credit Card,Pending
613,50613,2024-02-09,COD,Paid
1573,51573,2024-01-22,UPI,Paid
6892,56892,2024-02-02,credit card,Refunded
4057,54057,04/06/2025,Debit Card,Refunded
5591,55591,25/08/2026,Credit Card,Refunded
5265,55265,30-03-2026,COD,Paid
4856,54856,05/02/2024,Debit Card,Refunded
7685,57685,16/04/2025,Credit Card,Failed
1168,51168,2024-05-31,Debit Card,paid
2834,52834,26-05-2024,COD,PAID
7009,57009,,debit card,Paid
2196,52196,2025-12-15,COD,paid
4311,54311,14/09/2025,Credit Card,Paid
4368,54368,2025-07-17,UPI,Paid
2979,52979,2024-05-26,Credit Card,Paid
7987,57987,16-05-2026,,paid
2791,52791,22/06/2024,UPI,Paid
3129,53129,2024-01-27,Cod,Paid
5296,55296,2025-04-10,UPI,Paid
6479,56479,19/01/2025,UPI,Paid
502,50502,08-10-2024,Net Banking,Failed
3430,53430,2024-07-07,COD,Pending
7388,57388,12/07/2026,UPI,Paid
2253,52253,24/08/2025,UPI,Paid
1857,51857,2025-01-16,Credit Card,Paid
3222,53222,2025-03-25,UPI,Pending
2132,52132,2026-04-10,Credit Card,Paid
5147,55147,2025-07-16,UPI,Paid
3825,53825,2025-03-31,Credit Card,Paid
3839,53839,16-06-2024,Net Banking,PAID
5366,55366,04/03/2025,upi,Paid
7088,57088,12-08-2025,credit card,Pending
1578,51578,2024-05-24,Credit Card,Paid
7856,57856,2025-06-12,Credit Card,Paid
7070,57070,11-08-2026,COD,Paid
3594,53594,14-03-2025,UPI,Paid
2589,52589,30-12-2025,Credit Card,Paid
5349,55349,20-01-2025,COD,paid
7145,57145,2024-01-14,Credit Card,Paid
6945,56945,2024-03-25,UPI,Paid
7874,57874,2026-03-26,Debit Card,Failed
1481,51481,18/09/2025,Credit Card,Paid
5470,55470,25-06-2024,Net Banking,Paid
3622,53622,,UPI,Paid
4662,54662,2026-03-25,,Paid
282,50282,2026-06-13,Debit Card,Paid
2591,52591,27-07-2025,Debit Card,Paid
1293,51293,28-09-2025,COD,Paid
5503,55503,16-06-2025,Debit Card,Failed
6192,56192,25-11-2025,CREDIT CARD,Paid
3051,53051,03-08-2024,UPI,PENDING
4418,54418,02-06-2024,Net Banking,Failed
4585,54585,2025-11-21,Credit Card,Paid
29,50029,28/06/2026,UPI,Failed
567,50567,12-11-2024,Credit Card,Paid
5865,55865,18/06/2026,COD,Paid
734,50734,07/12/2025,UPI,Paid
2674,52674,06/02/2025,Debit Card,Paid
4537,54537,12/07/2026,Debit Card,Paid
6013,56013,24/09/2024,COD,Paid
7114,57114,18-05-2025,Credit Card,Paid
1115,51115,2024-07-21,COD,Paid
6461,56461,2025-01-02,credit card,Failed
5130,55130,16/09/2025,COD,Paid
6538,56538,2024-03-14,UPI,Paid
5590,55590,29-04-2024,UPI,Paid
3478,53478,2026-04-04,Debit Card,Paid
7672,57672,2025-09-01,Upi,PENDING
5248,55248,13/02/2026,UPI,Paid
1116,51116,2025-02-13,UPI,
7409,57409,2024-01-07,COD,Paid
749,50749,2026-04-11,Credit Card,Paid
662,50662,03-04-2024,Credit Card,Paid
1500,51500,15/08/2026,Debit Card,PAID
2876,52876,29-05-2025,UPI,Paid
5179,55179,2025-05-17,UPI,Paid
4611,54611,2025-11-17,UPI,Paid
1483,51483,14-05-2024,Upi,PAID
7271,57271,2026-08-09,UPI,FAILED
6794,56794,2024-05-13,Debit Card,Paid
6406,56406,22-02-2025,Debit Card,Paid
5211,55211,20/06/2024,,Paid
6956,56956,03-01-2026,UPI,Paid
5063,55063,2024-04-23,Credit Card,Paid
5492,55492,2024-03-29,Debit Card,Paid
4817,54817,14-02-2026,UPI,Paid
6187,56187,2024-01-12,Credit Card,Paid
1826,51826,2025-04-08,Upi,Refunded
744,50744,06-06-2026,Credit Card,Paid
5274,55274,2024-11-15,UPI,Paid
318,50318,08-01-2024,UPI,Paid
156,50156,2025-04-03,UPI,Paid
2697,52697,2025-04-26,UPI,Paid
7439,57439,2024-09-09,UPI,Paid
1622,51622,25/04/2025,COD,Paid
822,50822,2024-05-21,UPI,Paid
3428,53428,11/12/2025,Credit Card,Refunded
6069,56069,2025-05-28,UPI,paid
4963,54963,02-01-2025,UPI,Paid
1371,51371,28/05/2026,NET BANKING,PAID
6481,56481,07-06-2024,COD,Paid
4007,54007,05/12/2024,Credit Card,Failed
3263,53263,2025-01-22,UPI,Paid
7545,57545,2025-03-30,UPI,PENDING
4098,54098,23/03/2026,UPI,Paid
637,50637,2026-01-18,Net Banking,Paid
7890,57890,11-03-2024,COD,Paid
904,50904,06/06/2026,UPI,Paid
3349,53349,2026-06-28,Net Banking,Refunded
6508,56508,2025-01-07,UPI,Paid
5721,55721,14-04-2025,UPI,Refunded
7053,57053,2025-09-24,UPI,Paid
2334,52334,10/03/2026,Net Banking,Paid
24,50024,08-01-2024,Debit Card,Paid
2078,52078,2025-01-12,UPI,Refunded
3183,53183,2025-06-28,Upi,Paid
7939,57939,17/09/2024,COD,Paid
3972,53972,12-01-2026,Debit Card,Pending
6453,56453,30-05-2024,COD,Paid
1516,51516,2024-05-13,UPI,paid
7841,57841,27-01-2026,UPI,PAID
2624,52624,2024-06-05,UPI,Paid
2969,52969,2025-08-13,UPI,Paid
3989,53989,16-05-2025,Credit Card,Failed
2038,52038,,Credit Card,Paid
4071,54071,25/11/2025,Credit Card,Paid
4189,54189,2025-07-07,UPI,Failed
4039,54039,25/06/2026,UPI,PAID
4084,54084,2024-05-28,COD,
7821,57821,22/03/2025,Credit Card,Paid
3774,53774,2024-11-19,Credit Card,Paid
3472,53472,20-03-2024,UPI,Paid
6430,56430,19/01/2024,,Paid
3357,53357,11/09/2025,UPI,Pending
3350,53350,26/06/2025,Credit Card,Paid
2153,52153,29/04/2026,Credit Card,Paid
6670,56670,2024-02-24,,Paid
3881,53881,2024-09-12,UPI,paid
4397,54397,14/08/2025,UPI,Pending
241,50241,16/06/2026,Debit Card,Paid
961,50961,14/09/2025,credit card,Refunded
7491,57491,2025-05-08,UPI,paid
6309,56309,2025-06-02,UPI,PAID
3264,53264,2026-03-21,Net Banking,Paid
7292,57292,2024-07-07,UPI,Refunded
3534,53534,18/05/2025,UPI,
1571,51571,03/01/2025,Debit Card,Paid
1653,51653,2026-04-04,Credit Card,Paid
5932,55932,24-03-2026,Credit Card,Paid
6722,56722,,COD,Paid
203,50203,2025-03-04,UPI,Paid
2762,52762,04/07/2026,Net Banking,Paid
6751,56751,2024-10-31,UPI,Paid
1033,51033,2024-03-24,UPI,Paid
5643,55643,2025-04-14,Debit Card,Paid
5316,55316,21/03/2025,UPI,Paid
5507,55507,22-06-2026,Debit Card,Paid
7732,57732,17/09/2024,,Failed
1263,51263,11-02-2025,Credit Card,Paid
4409,54409,31/08/2024,COD,
2913,52913,2024-10-09,,Pending
3568,53568,12/11/2025,Credit Card,paid
1086,51086,,UPI,Refunded
7663,57663,2025-07-20,Net Banking,Refunded
7116,57116,2025-07-09,UPI,Paid
3036,53036,2024-04-10,UPI,PAID
1535,51535,2024-12-13,Debit Card,Paid
7285,57285,03/01/2026,UPI,Pending
6218,56218,28-01-2024,Credit Card,Paid
39,50039,23-04-2026,UPI,Paid
2701,52701,2025-04-15,UPI,Paid
1194,51194,2024-06-08,Credit Card,Refunded
2232,52232,2025-01-15,UPI,
2465,52465,2025-02-15,Credit Card,Refunded
1635,51635,,COD,Paid
2506,52506,10-04-2025,COD,Paid
566,50566,22-05-2026,UPI,Paid
2696,52696,2025-08-31,UPI,Paid
819,50819,2024-03-09,upi,Pending
3182,53182,23/11/2024,Credit Card,pending
3763,53763,2025-04-05,upi,
5103,55103,2025-08-16,UPI,Paid
4762,54762,14-09-2025,UPI,Paid
7599,57599,2026-07-18,COD,Refunded
5752,55752,2026-03-21,Credit Card,Paid
4154,54154,27/12/2024,Credit Card,Paid
5711,55711,2026-08-07,UPI,Paid
4217,54217,2026-01-31,Credit Card,Paid
3132,53132,19/09/2025,Debit Card,Paid
202,50202,2025-01-18,Credit Card,PAID
4638,54638,18-09-2024,UPI,PAID
5983,55983,26-08-2026,UPI,Paid
5491,55491,2025-10-29,COD,Paid
1868,51868,21/08/2024,Credit Card,Paid
594,50594,2026-02-18,UPI,Paid
2087,52087,14/04/2025,Credit Card,Paid
5300,55300,2025-12-22,COD,Paid
2854,52854,2026-05-23,UPI,Paid
7486,57486,21-01-2024,UPI,Paid
6278,56278,2024-09-04,Credit Card,
3281,53281,2024-01-28,Credit Card,Paid
1778,51778,2024-08-26,Credit Card,Paid
7198,57198,2025-10-03,Credit Card,Paid
5762,55762,15/07/2026,,Paid
6965,56965,29-06-2025,Debit Card,Paid
2017,52017,29-06-2025,COD,Paid
3935,53935,21/03/2025,UPI,Paid
5385,55385,04-09-2024,UPI,Paid
1265,51265,03-09-2024,Net Banking,Paid
5380,55380,2024-06-06,Credit Card,Failed
7991,57991,25/09/2025,COD,Paid
5819,55819,2025-09-04,Debit Card,Paid
6256,56256,2025-05-06,COD,Refunded
3800,53800,2025-10-13,UPI,Pending
4916,54916,11/03/2026,COD,Paid
2115,52115,20/01/2026,UPI,Paid
855,50855,02-11-2025,UPI,Paid
3639,53639,2024-11-12,UPI,Paid
2229,52229,31/05/2026,Credit Card,PENDING
3737,53737,19/01/2024,Credit Card,Refunded
7341,57341,28-02-2026,Net Banking,Paid
2626,52626,23/06/2026,Upi,Paid
1692,51692,2025-05-29,Credit Card,Failed
2029,52029,06-06-2025,Debit Card,Paid
1288,51288,12/09/2025,Net Banking,PAID
3560,53560,18/10/2024,UPI,Paid
2976,52976,2024-06-07,Debit Card,Paid
1351,51351,2025-07-06,Credit Card,Paid
3091,53091,11/08/2025,UPI,
1261,51261,2026-04-30,UPI,Paid
2326,52326,31-05-2024,COD,Paid
6470,56470,2025-08-31,Debit Card,Refunded
5196,55196,30/12/2024,UPI,Paid
4463,54463,2025-10-12,UPI,Paid
6687,56687,15-11-2025,UPI,Paid
4606,54606,04/03/2025,UPI,paid
3092,53092,2026-07-05,COD,Paid
4776,54776,2025-01-21,Credit Card,Paid
846,50846,19/04/2025,Credit Card,Refunded
2658,52658,2026-07-12,UPI,Paid
7730,57730,2025-08-19,UPI,Paid
4313,54313,17-07-2026,COD,Paid
2937,52937,05/12/2024,Net Banking,Paid
3668,53668,2024-12-11,UPI,Paid
3221,53221,05-05-2024,UPI,Refunded
5937,55937,2026-08-08,Credit Card,Paid
7723,57723,09-09-2025,UPI,
4539,54539,2025-01-18,COD,Failed
3792,53792,14/09/2024,Credit Card,Paid
6042,56042,06/02/2026,Net Banking,PAID
6622,56622,25/01/2026,UPI,Paid
1121,51121,2024-06-21,UPI,Paid
2531,52531,03/05/2024,Debit Card,PAID
6986,56986,01/05/2026,UPI,pending
4526,54526,2026-03-10,UPI,Pending
7606,57606,2024-10-26,Credit Card,paid
6017,56017,2024-05-19,UPI,Paid
2233,52233,27-11-2025,UPI,Pending
5459,55459,28-09-2024,UPI,Paid
672,50672,14/01/2024,Credit Card,Paid
2338,52338,2024-09-07,UPI,Paid
1589,51589,09-12-2024,UPI,Paid
5926,55926,20/12/2025,NET BANKING,Paid
4508,54508,2025-02-12,COD,PAID
1732,51732,11-12-2025,Credit Card,paid
4740,54740,2024-04-15,Debit Card,
3662,53662,01/10/2025,Credit Card,Paid
5017,55017,14-08-2026,Net Banking,Refunded
2728,52728,,UPI,Paid
4438,54438,2025-11-28,Upi,Paid
1711,51711,06-07-2024,UPI,Refunded
902,50902,28-03-2026,Debit Card,Paid
333,50333,2025-10-17,Upi,Paid
4888,54888,08/05/2026,UPI,Paid
3734,53734,06-01-2025,Debit Card,Failed
6039,56039,10-06-2026,UPI,Paid
7683,57683,2024-11-08,Credit Card,Paid
3680,53680,2024-09-30,Net Banking,Paid
3483,53483,2024-10-29,Cod,Paid
5038,55038,15/11/2024,UPI,Paid
7381,57381,2024-07-21,DEBIT CARD,paid
3245,53245,2025-10-25,UPI,Failed
7875,57875,12-01-2024,UPI,Paid
6960,56960,08/04/2025,UPI,Paid
7782,57782,,Debit Card,Refunded
5733,55733,2025-06-07,COD,failed
7540,57540,16-06-2026,Debit Card,Paid
676,50676,2026-01-23,Credit Card,PENDING
7111,57111,2024-11-13,COD,Paid
400,50400,17/01/2026,UPI,Paid
1276,51276,23/04/2025,upi,Paid
7667,57667,2025-09-05,Net Banking,Paid
611,50611,11/06/2025,COD,Failed
6653,56653,19/03/2024,UPI,Paid
6872,56872,16-06-2024,Net Banking,Pending
7204,57204,2024-07-19,UPI,Paid
2431,52431,30/08/2025,UPI,Paid
5436,55436,,UPI,Refunded
3097,53097,21/07/2025,Net Banking,Paid
2215,52215,2024-04-07,UPI,Paid
7449,57449,2024-09-06,credit card,Refunded
5668,55668,2026-02-21,,Refunded
6425,56425,14/12/2025,Net Banking,Paid
1527,51527,2024-11-18,UPI,Paid
5513,55513,25/07/2026,Credit Card,Paid
4100,54100,2024-09-16,CREDIT CARD,Paid
4196,54196,19-12-2025,UPI,PAID
1943,51943,2024-03-28,Upi,Paid
5995,55995,20-06-2026,Credit Card,Refunded
5016,55016,08/08/2026,Credit Card,Paid
6264,56264,21/02/2026,Debit Card,Failed
5353,55353,29/07/2026,Credit Card,FAILED
6091,56091,02/03/2026,Net Banking,Paid
7522,57522,04-01-2024,Debit Card,Paid
4682,54682,2025-10-11,UPI,Paid
5091,55091,16/04/2026,UPI,Paid
3846,53846,,Debit Card,Pending
2557,52557,2025-10-27,UPI,Paid
4710,54710,28/02/2024,UPI,Paid
2280,52280,08/02/2025,UPI,Paid
2485,52485,28/01/2025,Cod,Paid
5145,55145,2025-06-23,UPI,Paid
7955,57955,2024-12-17,Credit Card,paid
2995,52995,03-05-2026,,Paid
1394,51394,18-03-2024,COD,Paid
158,50158,10-12-2025,COD,Refunded
5437,55437,2026-08-07,Credit Card,Refunded
3640,53640,04/02/2026,Credit Card,Paid
37,50037,2025-02-26,UPI,paid
3602,53602,2026-03-11,UPI,Paid
4733,54733,08-05-2024,UPI,Paid
6568,56568,20-06-2026,UPI,Paid
7072,57072,29/12/2025,COD,Paid
222,50222,22/08/2025,COD,Paid
7164,57164,2024-04-14,UPI,Paid
1961,51961,23/02/2025,Debit Card,Refunded
1759,51759,04-01-2026,UPI,Pending
7414,57414,2026-06-28,debit card,PAID
864,50864,07/06/2024,Credit Card,Paid
6534,56534,20/08/2025,UPI,Paid
2488,52488,17/03/2026,Net Banking,Failed
2648,52648,2024-12-13,UPI,PAID
4653,54653,14/03/2026,UPI,Paid
7879,57879,2025-02-06,COD,Paid
7387,57387,07/05/2024,UPI,Paid
4111,54111,12/06/2026,COD,Paid
4735,54735,19-02-2024,Debit Card,Paid
5497,55497,07-04-2025,Debit Card,Paid
995,50995,26/12/2024,Credit Card,Pending
7425,57425,22-02-2025,cod,Paid
6715,56715,2026-03-05,Credit Card,Paid
7752,57752,2024-05-23,Credit Card,Paid
5225,55225,2024-03-28,UPI,Paid
3556,53556,2024-04-19,Credit Card,Paid
3485,53485,30/09/2025,UPI,PAID
3057,53057,2025-04-07,Credit Card,Paid
5901,55901,18-08-2026,Credit Card,Paid
4487,54487,09-05-2024,COD,Paid
4361,54361,2025-04-25,UPI,Failed
317,50317,2024-12-03,UPI,Paid
509,50509,24/07/2026,UPI,Paid
7148,57148,17-09-2024,COD,Paid
1663,51663,2024-07-10,UPI,failed
1710,51710,07-07-2024,Debit Card,PAID
5677,55677,2025-09-17,Net Banking,Pending
5049,55049,2024-10-05,upi,PAID
3277,53277,,Credit Card,refunded
5754,55754,11/01/2025,Upi,Paid
4342,54342,2024-11-16,UPI,Paid
5863,55863,13/08/2026,Credit Card,Paid
5857,55857,14-12-2025,UPI,Paid
3333,53333,27/01/2026,COD,Paid
2896,52896,16-11-2025,Credit Card,Paid
2758,52758,2025-05-26,UPI,Paid
622,50622,2026-08-30,UPI,Paid
1532,51532,2024-09-10,COD,Paid
1076,51076,2026-01-10,UPI,Paid
5562,55562,16-03-2024,UPI,Paid
4012,54012,06/07/2025,CREDIT CARD,Paid
1963,51963,2024-04-19,UPI,Paid
2601,52601,02/07/2025,credit card,PAID
4499,54499,27-06-2024,COD,Paid
6151,56151,2024-03-08,COD,Failed
337,50337,2026-01-04,Credit Card,Refunded
6037,56037,08-06-2025,UPI,Paid
2957,52957,2024-04-07,Net Banking,Refunded
3004,53004,21/11/2025,UPI,Paid
5043,55043,2025-05-07,Credit Card,Paid
5572,55572,26/06/2025,Credit Card,Paid
6164,56164,23-07-2025,,Paid
5722,55722,22-04-2026,COD,Paid
4789,54789,2026-08-08,UPI,Paid
3421,53421,17/12/2024,UPI,PAID
111,50111,2025-03-15,COD,PAID
2061,52061,02/02/2024,UPI,Paid
6523,56523,06-12-2024,Upi,Failed
858,50858,2026-03-25,UPI,Pending
7838,57838,21-08-2025,Cod,Paid
5092,55092,20/12/2025,Net Banking,Paid
7156,57156,23/03/2025,UPI,Pending
4327,54327,2025-01-02,Net Banking,Paid
412,50412,2024-08-22,UPI,Paid
4650,54650,28-09-2025,Upi,Paid
6878,56878,28/01/2026,UPI,Refunded
2365,52365,2024-03-11,UPI,Paid
4152,54152,20-06-2025,UPI,
5919,55919,2024-06-30,Debit Card,Paid
2757,52757,2024-10-28,UPI,Paid
5511,55511,26-11-2024,Credit Card,Paid
4652,54652,2025-03-24,COD,Paid
7698,57698,2024-04-27,Credit Card,Paid
3937,53937,2026-03-08,Debit Card,pending
1337,51337,2025-05-17,Debit Card,Paid
779,50779,22/01/2026,Credit Card,Refunded
3798,53798,01/03/2024,Credit Card,Pending
2936,52936,2026-02-26,Credit Card,Paid
7531,57531,10-06-2024,Debit Card,Paid
1023,51023,21/10/2025,UPI,Paid
4766,54766,27/10/2024,Upi,Failed
534,50534,2026-06-08,UPI,Failed
7967,57967,2024-04-12,UPI,Paid
5847,55847,2025-06-05,,paid
5101,55101,29/08/2025,Cod,Paid
5690,55690,17/09/2025,COD,Paid
2653,52653,30/11/2024,COD,failed
1349,51349,2026-06-25,UPI,Paid
3315,53315,30/03/2024,COD,Paid
1055,51055,21-10-2025,Net Banking,Refunded
4498,54498,2024-02-22,UPI,Paid
6261,56261,21/09/2025,UPI,Paid
989,50989,22-08-2026,COD,Paid
4169,54169,2026-08-10,Credit Card,PAID
2276,52276,2025-01-17,Net Banking,Pending
7818,57818,07/09/2025,upi,Failed
2994,52994,23/01/2026,COD,Paid
5656,55656,18-07-2024,UPI,Paid
4570,54570,2025-02-07,Credit Card,Pending
2734,52734,12-07-2026,COD,Pending
3562,53562,2025-04-29,UPI,Paid
2735,52735,2024-08-16,UPI,Paid
6463,56463,2024-12-13,net banking,Paid
761,50761,30-11-2024,Credit Card,Paid
992,50992,25/09/2025,UPI,Pending
5680,55680,04/12/2025,Debit Card,Paid
4857,54857,2025-12-05,Debit Card,paid
327,50327,2026-08-07,UPI,Paid
762,50762,02/08/2025,Debit Card,pending
5419,55419,23/11/2025,Net Banking,Paid
4518,54518,2026-04-12,Credit Card,paid
2676,52676,03/10/2025,Credit Card,Failed
4954,54954,2025-05-07,UPI,Paid
1306,51306,2024-11-10,Credit Card,Paid
6923,56923,08-01-2026,Debit Card,Paid
5524,55524,2025-07-07,Credit Card,Pending
7079,57079,07/05/2024,COD,Refunded
1066,51066,14/02/2025,Debit Card,Refunded
2989,52989,2024-01-26,UPI,PAID
2967,52967,28-07-2024,Credit Card,Paid
6520,56520,2024-02-09,UPI,Paid
3330,53330,29/01/2026,UPI,Paid
958,50958,16/12/2024,UPI,Paid
1063,51063,19-11-2024,Credit Card,Paid
3447,53447,06-10-2025,Upi,paid
654,50654,04/02/2026,UPI,Paid
7789,57789,2024-10-01,COD,Paid
2632,52632,11-01-2026,Debit Card,Paid
2560,52560,2024-06-19,Net Banking,Paid
561,50561,2025-12-05,UPI,Paid
1334,51334,01-12-2024,Credit Card,Paid
439,50439,2025-04-26,UPI,Pending
2592,52592,11-05-2026,Debit Card,Paid
6589,56589,06-08-2026,Credit Card,Paid
258,50258,2024-04-07,Net Banking,Paid
125,50125,09/12/2024,Debit Card,Paid
1665,51665,2026-06-09,Credit Card,Paid
2294,52294,2026-03-05,UPI,Paid
2917,52917,02-09-2025,Credit Card,Paid
2798,52798,01/04/2025,UPI,PAID
7058,57058,,debit card,Paid
7642,57642,2025-05-11,Credit Card,Paid
5891,55891,2026-02-04,Credit Card,Failed
6651,56651,13-05-2024,Debit Card,Pending
3755,53755,2025-10-11,Debit Card,Refunded
3732,53732,23-05-2026,Credit Card,Paid
331,50331,2025-12-05,Credit Card,Pending
5864,55864,03/07/2025,UPI,Paid
5161,55161,2024-06-12,cod,Pending
7618,57618,21/06/2025,Credit Card,Paid
6618,56618,2024-11-07,Credit Card,Paid
2879,52879,28/05/2024,Credit Card,Pending
2249,52249,2025-12-27,Debit Card,Failed
4528,54528,15/08/2025,Credit Card,Paid
15,50015,2025-09-05,COD,paid
6276,56276,31/08/2024,Net Banking,Paid
4261,54261,10-02-2025,COD,Paid
5255,55255,2024-01-22,COD,Paid
7358,57358,2024-09-08,COD,Paid
6703,56703,28/08/2026,UPI,Paid
2797,52797,,UPI,Pending
5200,55200,2025-07-27,Debit Card,Paid
6346,56346,2026-07-04,UPI,Paid
5603,55603,25/06/2026,UPI,PAID
5106,55106,11/06/2024,COD,Paid
925,50925,22-04-2026,Debit Card,Paid
1480,51480,2025-03-18,UPI,paid
1477,51477,2026-03-01,Net Banking,
1322,51322,19/02/2024,UPI,PAID
2983,52983,2025-10-29,Debit Card,paid
1552,51552,2025-04-22,UPI,Failed
1549,51549,31/01/2026,UPI,Paid
3154,53154,2024-11-04,COD,Paid
7985,57985,26/02/2026,Credit Card,Paid
2315,52315,20-09-2025,Credit Card,Paid
5141,55141,2024-12-29,,Paid
7900,57900,2025-09-28,Credit Card,Paid
2208,52208,13-06-2025,Credit Card,Pending
7849,57849,2024-03-04,Debit Card,Refunded
5312,55312,2024-09-06,COD,Failed
7361,57361,2024-03-13,Debit Card,Paid
1737,51737,2025-06-21,COD,Paid
1438,51438,2025-02-01,Credit Card,paid
1608,51608,2024-12-21,COD,Paid
2176,52176,22/10/2025,Credit Card,Paid
2329,52329,12/04/2025,UPI,Pending
7302,57302,16-01-2025,UPI,Paid
1630,51630,16-09-2024,UPI,Paid
4552,54552,2026-07-19,Credit Card,Paid
7269,57269,31/07/2024,Credit Card,PAID
7765,57765,2025-05-06,Credit Card,Paid
2246,52246,13-09-2024,COD,Paid
4804,54804,2024-06-14,UPI,Paid
2288,52288,01-10-2025,Credit Card,PAID
